Date	SPY
1993-12-30	27.148987
1993-12-31	27.004084
1994-01-03	26.931652
1994-01-04	27.040306
1994-01-05	27.094637
1994-01-06	27.094637
1994-01-07	27.257658
1994-01-10	27.583654
1994-01-11	27.529327
1994-01-12	27.438753
1994-01-13	27.36632
1994-01-14	27.474997
1994-01-17	27.474997
1994-01-18	27.511209
1994-01-19	27.438753
1994-01-20	27.511209
1994-01-21	27.456865
1994-01-24	27.348202
1994-01-25	27.348202
1994-01-26	27.420637
1994-01-27	27.674204
1994-01-28	27.746645
1994-01-31	27.945881
1994-02-01	27.801016
1994-02-02	27.982105
1994-02-03	27.855324
1994-02-04	27.221445
1994-02-07	27.348202
1994-02-08	27.36632
1994-02-09	27.474997
1994-02-10	27.239532
1994-02-11	27.330099
1994-02-14	27.36632
1994-02-15	27.511209
1994-02-16	27.493084
1994-02-17	27.330099
1994-02-18	27.167093
1994-02-22	27.438753
1994-02-23	27.36632
1994-02-24	27.004084
1994-02-25	27.130867
1994-02-28	27.130867
1994-03-01	27.022194
1994-03-02	27.058426
1994-03-03	26.985985
1994-03-04	27.058426
1994-03-07	27.203329
1994-03-08	27.094637
1994-03-09	27.221445
1994-03-10	27.004084
1994-03-11	27.148987
1994-03-14	27.185207
1994-03-15	27.167093
1994-03-16	27.384417
1994-03-17	27.384417
1994-03-18	27.378471
1994-03-21	27.305595
1994-03-22	27.378471
1994-03-23	27.360252
1994-03-24	27.032354
1994-03-25	26.777332
1994-03-28	26.813757
1994-03-29	26.285513
1994-03-30	25.921181
1994-03-31	25.994053
1994-04-04	25.593311
1994-04-05	26.121572
1994-04-06	26.121572
1994-04-07	26.249073
1994-04-08	26.048695
1994-04-11	26.157982
1994-04-12	26.121572
1994-04-13	25.984953
1994-04-14	25.994053
1994-04-15	25.994053
1994-04-18	25.821003
1994-04-19	25.857426
1994-04-20	25.830088
1994-04-21	26.176222
1994-04-22	26.148884
1994-04-25	26.422119
1994-04-26	26.3948
1994-04-28	26.203531
1994-04-29	26.285513
1994-05-02	26.449434
1994-05-03	26.422119
1994-05-04	26.376577
1994-05-05	26.340145
1994-05-06	26.085125
1994-05-09	25.857426
1994-05-10	26.0578
1994-05-11	25.821003
1994-05-12	25.948505
1994-05-13	25.948505
1994-05-16	25.957621
1994-05-17	26.340145
1994-05-18	26.531414
1994-05-19	26.658937
1994-05-20	26.558731
1994-05-23	26.513199
1994-05-24	26.622494
1994-05-25	26.695351
1994-05-26	26.713585
1994-05-27	26.740894
1994-05-31	26.704468
1994-06-01	26.822876
1994-06-02	26.79554
1994-06-03	26.950367
1994-06-06	26.941286
1994-06-07	26.904842
1994-06-08	26.686255
1994-06-09	26.831974
1994-06-10	26.877514
1994-06-13	26.913948
1994-06-14	27.123432
1994-06-15	27.014145
1994-06-16	27.068775
1994-06-17	26.917688
1994-06-20	26.688486
1994-06-21	26.459295
1994-06-22	26.560125
1994-06-23	26.404284
1994-06-24	25.854191
